b,,r,,g,
X,Y,X,Y,X,Y
504.340683644308,21.54563822616192,586.0072156898946,39.68597743061013,592.2284635119178,34.99943419356867
505.0960386785595,20.87171910854054,586.7632476758632,42.661166425675034,594.0057694748624,33.44765504667903
505.9846916600318,20.15965957313049,587.2816285817221,43.67338474488068,595.5757230754634,31.925505645840104
507.0066425887249,19.466684574344967,586.731510069382,41.679906237791386,597.2857068428419,30.38355532186671
507.8952955701972,18.771789659712844,587.7555768385073,44.73375140141871,599.1437994404658,28.683999965708708
508.7839485516695,18.10984852453749,587.9952438547225,45.798187133333144,600.8403187687311,27.015392506779676
510.1169280238779,17.312367061683382,588.6146080539304,46.76874757698635,602.2406204365057,25.624456459099534
511.2277442507183,16.54758864300758,585.8573631961351,40.95548596485714,603.5735999087142,24.35415989969161
512.1163972321906,15.944749394901464,588.960195324503,47.6292710527143,604.9065793809225,23.090167541571063
513.1383481608837,15.280207776695072,589.4662338278415,48.503978981338875,606.239558853131,21.829327284094212
514.3380296858713,14.5038453881537,590.5400228471204,49.87750683682771,607.5725383253395,20.609464334985354
515.6710091580798,13.669326742736203,591.3261389461152,50.95279747756723,609.0351130240126,19.423486467796188
517.0039886302882,12.86081292762917,592.0581383571356,51.9058836010436,610.7124455265415,18.074544997328147
518.6616682303422,12.061209858572589,592.9838185461692,52.882246775427234,612.7563473839277,16.650425926508035
520.0895892604003,11.295006932875104,594.265529577139,53.78532360984504,614.5336533468724,15.306449014553806
522.2089560931972,10.528821326411943,594.7611245091139,54.56901463238299,616.310959309817,14.026302140634336
524.1132124820665,9.819193411498446,596.7605937174264,56.076900777809215,618.1376348828433,12.773342134766722
526.5570081811154,9.12415521956433,597.4629003534765,56.7158315782856,620.4714709958009,11.456337174911354
528.7786406347961,8.505713073271949,600.5801635986375,57.647877379590824,623.1778232575574,10.19521036283053
531.4104206183871,7.880069589355102,604.2030624372569,57.300703852722684,627.4191215782206,8.861585235944773
534.1509518409696,7.38668868930084,606.7579397589898,56.70022868009933,631.8623864855821,7.639429850004149
538.7759866763594,6.865990318423286,609.4037020447369,56.03678313325313,636.7499778836798,6.757414778978301
543.4414148290889,6.267406406186154,611.4233679117194,55.377134434909564,641.6375692817774,6.128140868655763
548.3290062271865,5.653606444478115,613.1562412255903,54.69596548580769,646.525160679875,5.694870307450088
552.5056752401063,5.138323955615633,614.607707761995,54.026459309087485,651.4127520779725,5.413760240953536
557.2155360419094,4.696800621815555,616.189779357798,53.297894228488644,656.3003434760701,5.251283780501396
562.103127440007,4.356373752296804,618.0142108576389,52.55836843428787,661.1879348741677,5.220335883272426
566.9907188381046,4.139738471693974,619.9681081181837,51.766766851480654,666.0755262722654,5.310600583523609
571.8783102362023,4.0675267114930165,621.7169316137733,50.979166011798114,670.963117670363,5.583973675712912
576.7659016342999,4.142317463129714,623.494237576718,50.251030763105234,675.8507090684607,6.0352971769688395
581.6534930323976,4.268688043481376,625.2715435396626,49.53235181634343,680.7383004665583,6.62072823288365
586.5410844304952,4.407953581011768,627.0488495026071,48.80894471861608,685.6258918646558,7.329950877714381
591.4286758285928,4.431164503933516,628.8261554655517,48.06662501702658,690.5134832627534,8.093332342695817
596.3162672266903,4.3202678721963395,630.4082270613546,47.34816098621776,695.401074660851,8.874766747727492
601.2038586247879,4.119106540207994,632.2663196589785,46.64409632425853,700.2886660589486,9.547883512457744
606.0914500228855,3.848312439454432,633.5952597994531,45.97536384496904,705.1762574570463,10.045628859557134
610.9790414209832,3.5620443900863847,635.3766050941316,45.31075775197675,710.0638488551439,10.375739763332895
615.8666328190808,3.2964082722043457,636.705545234606,44.65337283500456,714.9514402532416,10.502110343684556
620.7542242171785,3.0900889573444914,638.6298207291019,43.97841109947797,719.8390316513392,10.509847317991792
625.6418156152761,2.96371837699283,641.227421751867,43.192810631357766,724.7266230494367,10.440214549226596
