b,,g,,r,
X,Y,X,Y,X,Y
666.3297718456824,0.060344900651774225,609.9665565222981,0.34710619274846,660.5750401971184,0.7179472493705579
668.6742921469493,0.060344900651774225,611.1075994604721,0.33553189691505936,662.9195604983852,0.7083045783424643
671.0188124482161,0.06238469644617861,612.1926667073394,0.324243481552844,665.1575116950489,0.6983930251414721
673.3633327494829,0.06748418593218963,613.2583577533698,0.313585548527081,667.1823246825066,0.6868455145053715
675.7078530507497,0.07049752062846881,614.3240487994001,0.3032335848704787,669.1005685653613,0.6755699766418582
678.0523733520165,0.07054387962379616,615.4091160462674,0.2919080823120015,671.2319506574221,0.6654688666599717
680.3968936532833,0.07054387962379616,616.6685691006669,0.2798779230245483,673.5764709586889,0.6557798366365508
682.7414139545501,0.07054387962379616,617.9280221550664,0.26756960976513067,675.7078530507497,0.6457096326515493
685.0859342558169,0.07054387962379616,619.0324656027706,0.2558871429426328,677.6260969336043,0.6345474167766141
687.4304545570837,0.07054387962379616,620.4558711257903,0.24478951267657245,679.6509099210621,0.6228695858536488
689.7749748583506,0.07054387962379616,622.636438958437,0.2334442382047035,681.8888611177258,0.6122950990194751
692.1194951596174,0.07054387962379616,624.6612519458947,0.22199871735832322,684.2333814189926,0.6027451459820363
694.4640154608842,0.07054387962379616,626.8992031425585,0.21207789235826546,686.5779017202594,0.6003808372203403
696.8085357621511,0.07054387962379616,629.2437234438253,0.20262065731148138,688.9224220215262,0.6001954012390308
699.0464869588149,0.07059487451865631,631.5882437450921,0.19320978126002475,691.266942322793,0.5969039125707873
,,633.932764046359,0.18370618721791332,693.61146262406,0.5916653460987942
,,636.2772843476258,0.17726228686740841,695.9559829253268,0.5896719092997171
,,638.6218046488926,0.17290454130663546,698.3005032265936,0.5896719092997171
,,640.9663249501594,0.16859315474118974,699.7924706910362,0.5895019263168502
,,643.3108452514263,0.16428176817574403,,
,,645.6553655526932,0.15969222763833413,,
,,647.99988585396,0.15450002016166842,,
,,650.3444061552268,0.14949324866631208,,
,,652.6889264564936,0.14513550310553913,,
,,655.0334467577604,0.14142678347934923,,
,,657.3779670590272,0.14091683453074821,,
,,659.722487360294,0.14138042448402188,,
,,662.0670076615609,0.14504278511488433,,
,,664.4115279628277,0.1491223767036931,,
,,666.7560482640945,0.150095915605568,,
,,669.1005685653613,0.15032771058220484,,
,,671.4450888666281,0.1564470979654181,,
,,673.7896091678949,0.16585797401687474,,
,,676.1341294691617,0.17271910532532586,,
,,678.4786497704287,0.17712320988142638,,
,,680.8231700716955,0.18375254621324066,,
,,683.1676903729623,0.19390516618993536,,
,,685.5122106742291,0.20368691420401097,,
,,687.856730975496,0.2133759442274319,,
,,690.2012512767628,0.22287953826954332,,
,,692.5457715780296,0.2323367733163274,,
,,694.8902918792965,0.24077411046590924,,
,,697.2348121805633,0.24554908698462863,,
,,699.2596251680209,0.24915349887133187,,
