r,,g,,b,
X,Y,X,Y,X,Y
466.65914928750533,0.022711080854297627,463.5007457919665,0.11860231112799868,450.65248302856094,0.7753215705972859
469.69489633661544,0.023685291878300374,465.02837607930564,0.1362391388514278,453.68823007767105,0.7838946276085108
472.7306433857256,0.02420487109110203,466.01520294375473,0.153053299487921,456.7239771267812,0.7913635787925326
475.7663904348358,0.02563371392630609,466.8431339571484,0.1693262317777462,459.7597241758914,0.7955851598965449
478.8021374839459,0.026932661958310122,467.67106497054203,0.1861548251701507,462.7954712250015,0.792207895013335
481.83788453305607,0.027841925580712745,468.3150113142927,0.20203085667241905,465.8312182741116,0.7849337860341139
484.87363158216624,0.028426452195114305,469.14294232768634,0.21933573100989157,468.8669653232218,0.7762957816212888
487.90937863127635,0.02979034762871846,469.97087334108005,0.23933953070274971,471.90271237233196,0.7655794603572577
490.94512568038647,0.030309926841519896,470.90919515625956,0.26061341291578943,474.6624824169775,0.7514209268084164
493.98087272949664,0.03128413786552264,471.7187277026889,0.28037907213611357,477.0600326432634,0.7319529431787598
497.0166197786068,0.03323255991352836,472.7996376368418,0.2994303099388357,479.0781144884105,0.7147813141056814
500.0523668277169,0.03583045597753576,473.55857439911927,0.31861144254475804,480.8719650174301,0.6990300228509307
503.0881138768271,0.03920772086074553,474.2861501381622,0.3379657682216143,482.5278270442175,0.682955540954884
506.12386092593727,0.04290972275195637,475.1316433245673,0.3578461678514321,484.07078938736026,0.6678336209489735
509.1596079750474,0.047715830470370424,475.7111950339429,0.37670689327612694,485.59682894012593,0.6514678952340244
512.1953550241575,0.052911622598385555,476.51152834689003,0.39749655652834737,487.08144761788265,0.6355417728733594
515.2311020732677,0.058821836144002715,477.0082869549263,0.41474983376343755,488.59932114243776,0.6191338943157652
518.2668491223778,0.06609594512322392,477.7831454674614,0.4363610816459004,490.1171946669928,0.6023926190966231
521.302596171488,0.07337005410244501,478.6917466821601,0.459936988426769,491.63506819154793,0.5863895793423366
524.3383432205981,0.07811121441925872,479.29276326966067,0.47811504449686626,493.152941716103,0.5698864445957286
527.3740902697083,0.0786957410336604,479.82325240046475,0.49572950144863304,494.5328267384258,0.553764334605175
530.4098373188184,0.076097844969653,480.1820225062687,0.513212414139381,495.49874625405175,0.5387912523945982
533.4455843679285,0.07103194764483833,480.8949631011355,0.5332247188491154,496.8786312763745,0.5217344410493486
536.4813314170387,0.06590110291842333,481.5619075285915,0.5537210363374416,498.2585162986973,0.5033738106169752
539.5170784661489,0.061419732208010336,482.19665463885997,0.5718153824232542,499.7513010046647,0.48533142245244276
542.552825515259,0.05791257252160009,482.94179255091433,0.5926606117857327,501.1562748455752,0.4676527397368714
545.5885725643691,0.054210570630389254,483.94534529442177,0.613342751006415,502.4135034214693,0.4509670306279874
548.6243196134793,0.050768358345579245,484.87363158216624,0.6353274464480789,503.7780563879885,0.4342178173930942
551.6600666625894,0.04706635645436852,485.6513849583845,0.65633793086574,505.1426093545077,0.4173892240006897
554.6958137116995,0.044273618185560526,486.43750127413205,0.6752953557550396,506.2771814839731,0.40024310997823986
557.7315607608098,0.0453127766111634,487.21943612011495,0.6926597652106457,507.62640239468874,0.3838907975309034
